model_key,best_level,best_mean,best_std,best_count,worst_level,worst_mean,worst_std,worst_count,delta_best_worst,contrast_key,dataset_variant,config_name
,LogisticRegression,0.45737779628272973,0.1030298606284314,132000,QuadraticDiscriminantAnalysis,0.32530425602370494,0.10647501643055665,66000,0.1320735402590248,config_name__model_key,,config_kfold
,LinearDiscriminantAnalysis_svd,0.4676247452261899,0.16552287187575626,11000,QuadraticDiscriminantAnalysis,0.3401524641080158,0.1808965302733076,33000,0.1274722811181741,config_name__model_key,,config_strat80
,LogisticRegression,0.4466623737334971,0.1793491688392472,66000,QuadraticDiscriminantAnalysis,0.32196193838219855,0.17347951242816112,33000,0.12470043535129854,config_name__model_key,,config_random80
,LogisticRegression,0.4546091469756317,0.08169091200814303,6548,QuadraticDiscriminantAnalysis,0.3364644985280313,0.08183062083810672,3220,0.11814464844760042,config_name__model_key,,config_loo
SVC_linear,smote,0.4560676885234799,0.16623295797107177,91488,none,0.3434797899434523,0.15780746706861656,22860,0.1125878985800276,model_key__resampling,,
QuadraticDiscriminantAnalysis,undersample,0.36131408388994296,0.1444938727651366,24588,none,0.256755735504044,0.17681368934237238,12236,0.10455834838589895,model_key__resampling,,
SVC_linear,standard,0.4751482677259663,0.1267676016215163,80817,maxabs,0.3802049127342351,0.22126952114099843,80203,0.09494335499173118,model_key__scaler,,
QuadraticDiscriminantAnalysis,standard,0.3631300624037082,0.12002068672613113,43296,maxabs,0.2870947318807269,0.17097646343179423,43216,0.07603533052298128,model_key__scaler,,
LogisticRegression,standard,0.48863009132973434,0.11674005308721166,86592,maxabs,0.42083543777601956,0.17093124217464903,86540,0.06779465355371478,model_key__scaler,,
LogisticRegression,smote,0.4753286818816728,0.1443915338445047,98400,none,0.41086978529391055,0.18127845866411324,24568,0.06445889658776227,model_key__resampling,,
GaussianNB,undersample,0.40665408760958477,0.13587241361081154,21705,none,0.3487558869665923,0.1508554623805202,10852,0.05789820064299245,model_key__resampling,,
LinearDiscriminantAnalysis_svd,smote,0.4772284957363392,0.13326961503446041,16400,none,0.4227676829426601,0.1333302989426267,4100,0.05446081279367909,model_key__resampling,,
,undersample,0.407044999020923,0.14862735207324845,178916,none,0.3564158019878426,0.154612670842763,89403,0.050629197033080386,dataset_variant__resampling,IMPUTED,
KNeighborsClassifier,none,0.38231720006036973,0.1108131960420508,28809,robust,0.33413689892040593,0.1306059266425587,230461,0.0481803011399638,model_key__scaler,,
KNeighborsClassifier,undersample,0.37764571329894375,0.12831560146232385,130935,none,0.3322124854870559,0.13124370832213914,65466,0.045433227811887855,model_key__resampling,,
RandomForestClassifier,smote,0.4143426934634518,0.11254004033651832,166692,smoteenn,0.3748205725335309,0.11306868731848464,166693,0.03952212092992091,model_key__resampling,,
,undersample,0.3976729185392469,0.14133016471003051,184800,none,0.3641300031311632,0.14678474646007414,92354,0.033542915408083684,dataset_variant__resampling,STRICT,
LinearDiscriminantAnalysis_svd,standard,0.47201293323651045,0.11966968828569124,14432,robust,0.4397497177161448,0.14533305482240136,14432,0.03226321552036565,model_key__scaler,,
,standard,0.41197799494238857,0.1340187876562764,299860,maxabs,0.3806665363712976,0.15662863987191866,299301,0.031311458571090967,dataset_variant__scaler,IMPUTED,
GaussianNB,standard,0.4039702650038944,0.12375327724576042,38197,maxabs,0.37625739764538196,0.13464515735375016,38198,0.027712867358512416,model_key__scaler,,
,standard,0.40482893709504114,0.12530728154820087,308452,robust,0.3800086931074309,0.14218670293948385,308542,0.024820243987610235,dataset_variant__scaler,STRICT,
RandomForestClassifier,maxabs,0.4026756856239689,0.11018897389772316,114510,none,0.39581922537280884,0.11264691332786315,114710,0.006856460251160046,model_key__scaler,,
