dataset_variant,scaler,mean,std,count,median,row_factor,col_factor,resampling,pca,model_key,config_name
,standard,0.48863009132973434,0.11674005308721166,86592,0.4949195608141273,model_key,scaler,,,LogisticRegression,
,,0.4772284957363392,0.13326961503446041,16400,0.4839945864253151,model_key,resampling,smote,,LinearDiscriminantAnalysis_svd,
,,0.4676247452261899,0.16552287187575626,11000,0.4732058754737091,config_name,model_key,,,LinearDiscriminantAnalysis_svd,config_strat80
,,0.4560033170125248,0.15006625320336012,227260,0.47999648547599516,model_key,pca,,on,LogisticRegression,
,standard,0.4235578390032952,0.12258960163139189,110619,0.4259123708893557,scaler,resampling,undersample,,,
,standard,0.4128862930218406,0.13322336555929767,432061,0.4117980140314096,scaler,pca,,on,,
IMPUTED,standard,0.41197799494238857,0.1340187876562764,299860,0.4098900986021981,dataset_variant,scaler,,,,
IMPUTED,,0.407044999020923,0.14862735207324845,178916,0.4135179228034119,dataset_variant,resampling,undersample,,,
,,0.4063728671015857,0.1187160513772362,128222,0.4122139642505557,resampling,pca,undersample,off,,
STRICT,,0.39819968414392626,0.1107380946741806,364634,0.4075500715665535,dataset_variant,pca,,off,,
