dataset_variant,config_name,model_key,scaler,resampling,pca,mcc__mean,mcc__std,mcc__count,mcc__median,balanced_accuracy__mean,balanced_accuracy__std,balanced_accuracy__count,balanced_accuracy__median,f1__mean,f1__std,f1__count,f1__median,accuracy__mean,accuracy__std,accuracy__count,accuracy__median,precision__mean,precision__std,precision__count,precision__median,recall__mean,recall__std,recall__count,recall__median
IMPUTED,config_strat80,SVC_linear,robust,smote,off,0.5641786037552498,0.17271616290588157,480,0.5716350506349809,0.8007045088566828,0.08828106917040732,480,0.8140096618357487,0.6909501835130116,0.11890029239652891,480,0.6956521739130435,0.7908854166666667,0.08014248725160733,480,0.78125,0.6081112327895416,0.13584653482248357,480,0.5773809523809523,0.8231481481481481,0.1519622307241358,480,0.8888888888888888
IMPUTED,config_strat80,LogisticRegression,robust,smote,off,0.5624643861395409,0.17321117027108812,480,0.5716350506349809,0.8000100644122383,0.08713213835387905,480,0.8140096618357487,0.6882450477067266,0.11823913802720208,480,0.6956521739130435,0.783203125,0.0824714104991114,480,0.78125,0.6000468407545614,0.14598711223190147,480,0.5625,0.8384259259259259,0.15589911911315574,480,0.8888888888888888
IMPUTED,config_strat80,SVC_linear,standard,smote,off,0.5599930434262126,0.17500732554996634,480,0.5691908489504616,0.7968599033816425,0.08802013636910896,480,0.8043478260869565,0.6880920911755395,0.12151483679094341,480,0.6923076923076923,0.790625,0.08168494072171331,480,0.78125,0.6119042116652411,0.14340426332777842,480,0.5714285714285714,0.8111111111111111,0.15135325203721178,480,0.8888888888888888
IMPUTED,config_strat80,SVC_linear,standard,smote,on,0.5569975968330289,0.17269281711976137,3360,0.5691908489504616,0.7940965033356339,0.08727378424908347,3360,0.8019323671497585,0.6843546692209881,0.11933285385076217,3360,0.6956521739130435,0.7890252976190476,0.08032360559925052,3360,0.78125,0.6127685786134067,0.1461124710015711,3360,0.5714285714285714,0.8056878306878306,0.15980201261477875,3360,0.8888888888888888
IMPUTED,config_strat80,LogisticRegression,standard,smote,off,0.5546033166541978,0.17239485523492232,480,0.5691908489504616,0.7972524154589372,0.08744514118084859,480,0.8140096618357487,0.6834941287429818,0.11840485469928097,480,0.6923076923076923,0.7772135416666667,0.08337943037189875,480,0.75,0.5887353821037065,0.13972501348563637,480,0.5384615384615384,0.8430555555555554,0.15367899141683936,480,0.8888888888888888
IMPUTED,config_strat80,LinearDiscriminantAnalysis_svd,maxabs,smote,off,0.5534500711516629,0.1783224025237573,80,0.5931802201345258,0.7956521739130434,0.09140978027355377,80,0.8128019323671498,0.6840973950868283,0.12297912312630914,80,0.71,0.7828125,0.08610724748602903,80,0.78125,0.5969873072833599,0.138185043112099,80,0.5729166666666667,0.825,0.15389408055341047,80,0.8888888888888888
IMPUTED,config_strat80,LinearDiscriminantAnalysis_svd,standard,smote,off,0.550008733989548,0.18729898188696698,80,0.5479252865751503,0.7917270531400966,0.09317455722102207,80,0.8031400966183575,0.682320246099254,0.12925670680776905,80,0.6794871794871795,0.78203125,0.09154514324409722,80,0.765625,0.6028169637380164,0.15553203672301846,80,0.5539772727272727,0.8138888888888889,0.15081691391257424,80,0.8888888888888888
IMPUTED,config_strat80,LogisticRegression,none,smote,off,0.5499830448362022,0.16516845497779614,480,0.5691908489504616,0.7939261272141707,0.08386047463337962,480,0.8140096618357487,0.6799147731282019,0.11357979959927252,480,0.6923076923076923,0.7787109375,0.07733922754381073,480,0.78125,0.5910185144376321,0.13463853732969688,480,0.5625,0.8287037037037037,0.15640872394687755,480,0.8888888888888888
IMPUTED,config_strat80,LogisticRegression,standard,smote,on,0.5439172489954774,0.1647580949126942,3360,0.5266597241998389,0.7911174373130895,0.08410646450492619,3360,0.7922705314009661,0.6764457478310986,0.11255184899057727,3360,0.6666666666666666,0.7734002976190476,0.08109447645341844,3360,0.75,0.5849621652018269,0.1351327816228662,3360,0.5384615384615384,0.8316137566137566,0.151285996316159,3360,0.8888888888888888
IMPUTED,config_strat80,LogisticRegression,none,none,off,0.5437360855747018,0.1598009624044091,120,0.5439545842126707,0.7683977455716585,0.08203970049614787,120,0.7789855072463768,0.6567207511270979,0.11426958268405309,120,0.6666666666666666,0.7942708333333334,0.07366005113868374,120,0.8125,0.6703569428937076,0.18550407332515903,120,0.6258741258741258,0.7092592592592593,0.20380412316998875,120,0.7777777777777778
IMPUTED,config_strat80,LinearDiscriminantAnalysis_svd,none,smote,off,0.5410012401698248,0.17768246614597405,80,0.5266597241998389,0.7900966183574879,0.0916848741582283,80,0.7922705314009661,0.6763947582289385,0.12251409863458082,80,0.6666666666666666,0.77421875,0.08824487985828147,80,0.78125,0.584053268927495,0.13385330808008075,80,0.5625,0.826388888888889,0.15088813490321576,80,0.8888888888888888
IMPUTED,config_strat80,LinearDiscriminantAnalysis_svd,standard,smote,on,0.5403239611524084,0.17174571030309754,560,0.5266597241998389,0.7864389233954451,0.0878768266019222,560,0.7922705314009661,0.6736404801087871,0.11791206773520656,560,0.6666666666666666,0.7794642857142857,0.08154330133329923,560,0.78125,0.5976060125774024,0.14098427696534885,560,0.5625,0.8023809523809523,0.1598204878395946,560,0.8888888888888888
IMPUTED,config_strat80,SVC_linear,none,smote,off,0.5385875847465392,0.1730136750808283,480,0.5362318840579711,0.786141304347826,0.08909654616845451,480,0.7922705314009661,0.6728638756832225,0.11911857174218922,480,0.6666666666666666,0.7782552083333333,0.08253895280802538,480,0.78125,0.5934966215110855,0.13523692739859694,480,0.5714285714285714,0.8041666666666667,0.16109731261750068,480,0.7777777777777778
IMPUTED,config_strat80,LinearDiscriminantAnalysis_svd,robust,smote,off,0.5333872702210154,0.18005742988090712,80,0.5266597241998389,0.7846014492753624,0.09258359455976466,80,0.7922705314009661,0.6720523178618144,0.12360520869351603,80,0.6666666666666666,0.77421875,0.09045843488285488,80,0.765625,0.5879371465952349,0.13849027884497492,80,0.554945054945055,0.8083333333333333,0.1478871352822725,80,0.8888888888888888
IMPUTED,config_strat80,SVC_linear,standard,undersample,on,0.5267564589464829,0.1636125023246274,1680,0.5266597241998389,0.7798654244306418,0.08748594533284595,1680,0.7922705314009661,0.6626592217741273,0.11145282504842753,1680,0.6666666666666666,0.7689732142857143,0.08218480784938613,1680,0.75,0.5828581060895303,0.1281384379355137,1680,0.5454545454545454,0.8047619047619048,0.17117551163958625,1680,0.8888888888888888
IMPUTED,config_strat80,LogisticRegression,standard,none,off,0.5256916306793259,0.16502994200929738,120,0.5266597241998389,0.760426731078905,0.087967228762928,120,0.7705314009661836,0.6417940613974401,0.12378767102578844,120,0.6428571428571429,0.7828125,0.07738356155372725,120,0.78125,0.6544600378694806,0.19082340606572476,120,0.6125,0.7092592592592593,0.2185425192683405,120,0.7222222222222222
IMPUTED,config_strat80,SVC_linear,robust,undersample,off,0.525540526430951,0.17479460713495146,240,0.5266597241998389,0.7803140096618357,0.0930893155306985,240,0.7922705314009661,0.6631403541261663,0.11868611428371872,240,0.6666666666666666,0.765625,0.08903319041692205,240,0.75,0.5769632752295291,0.13206843248931296,240,0.5625,0.8138888888888888,0.1701784067333199,240,0.8888888888888888
IMPUTED,config_strat80,LinearDiscriminantAnalysis_svd,maxabs,smote,on,0.525193788809191,0.16767120979494876,560,0.5266597241998389,0.7791666666666667,0.08634902559657857,560,0.7922705314009661,0.6651268099816169,0.11226872954375973,560,0.6666666666666666,0.77265625,0.0816019666044391,560,0.78125,0.5866748888090385,0.13304160507822452,560,0.5625,0.794047619047619,0.15082338828285488,560,0.7777777777777778
IMPUTED,config_strat80,LogisticRegression,standard,undersample,on,0.5227404727270991,0.15005945744553723,1680,0.5266597241998389,0.7818696802392455,0.08007111545878927,1680,0.7922705314009661,0.66214971746149,0.10115516057842819,1680,0.6666666666666666,0.7573288690476191,0.0800948344425427,1680,0.75,0.5606013979785265,0.11283632212024299,1680,0.5333333333333333,0.837962962962963,0.1490436559452788,1680,0.8888888888888888
IMPUTED,config_strat80,LogisticRegression,robust,undersample,off,0.522634455527934,0.1520475651420268,240,0.5516772843673705,0.7823067632850241,0.08075729286590354,240,0.7922705314009661,0.6611499276267547,0.10310445141465421,240,0.6666666666666666,0.7575520833333333,0.0749821101106507,240,0.75,0.5581908049738932,0.11318246489787095,240,0.5333333333333333,0.8388888888888889,0.15670690337957827,240,0.8888888888888888
