model_key,pca,mean,std,count,median
LogisticRegression,on,0.4560033170125248,0.15006625320336012,227260,0.47999648547599516
LinearDiscriminantAnalysis_svd,on,0.45597396626321046,0.1314061611201597,37884,0.4650908607884494
LogisticRegression,off,0.45184899348752716,0.132095095837379,43288,0.4653292731565615
LinearDiscriminantAnalysis_svd,off,0.45096067881814345,0.1103515574084575,7216,0.4483136495254826
SVC_linear,off,0.4407668028199333,0.15432544714227042,40316,0.4597784763752234
SVC_linear,on,0.43149646229222727,0.17945132995706684,211300,0.4635415072361741
RandomForestClassifier,off,0.3986475262887544,0.11262490785427529,458411,0.4028467047634496
GaussianNB,off,0.3967933737286137,0.11242677528369246,19102,0.3914484344979226
GaussianNB,on,0.3860318234275746,0.13932980800546213,100276,0.3892494720807615
KNeighborsClassifier,off,0.36103510563770475,0.11905203622562241,115230,0.3638716038457886
KNeighborsClassifier,on,0.3567289157956885,0.12497935847902991,604906,0.3620725364844352
QuadraticDiscriminantAnalysis,on,0.3314238610068356,0.14616055791585883,113582,0.3425890948707095
QuadraticDiscriminantAnalysis,off,0.31238963324352803,0.1387419078915046,21638,0.3181818181818182
