model_key,resampling,mean,std,count,median
LinearDiscriminantAnalysis_svd,smote,0.4772284957363392,0.13326961503446041,16400,0.4839945864253151
LogisticRegression,smote,0.4753286818816728,0.1443915338445047,98400,0.4935535634622958
LinearDiscriminantAnalysis_svd,undersample,0.46291914485395363,0.12153008343527819,8200,0.466570446727212
LogisticRegression,undersample,0.45676387076040115,0.14325135762548422,49182,0.4779733235482032
SVC_linear,smote,0.4560676885234799,0.16623295797107177,91488,0.4778442497698359
LogisticRegression,smoteenn,0.44573874652288675,0.13927470222716645,98398,0.4636577116516445
SVC_linear,smoteenn,0.44286040924325065,0.1528720091475228,91513,0.4665694748158434
LinearDiscriminantAnalysis_svd,smoteenn,0.4373425718490183,0.120710120396943,16400,0.44456178898917725
LinearDiscriminantAnalysis_svd,none,0.4227676829426601,0.1333302989426267,4100,0.4382388642302461
RandomForestClassifier,smote,0.4143426934634518,0.11254004033651832,166692,0.4211968043894776
SVC_linear,undersample,0.4117802117367503,0.2227460096567252,45755,0.4669587553757328
RandomForestClassifier,none,0.4112531549163042,0.1143984971544504,41675,0.4117185673993872
LogisticRegression,none,0.41086978529391055,0.18127845866411324,24568,0.4550466375675794
RandomForestClassifier,undersample,0.40860767100905393,0.10254125212543085,83351,0.4117980140314096
GaussianNB,undersample,0.40665408760958477,0.13587241361081154,21705,0.417507005575278
GaussianNB,smote,0.3963223153886948,0.13698417554072498,43411,0.3943083152146582
GaussianNB,smoteenn,0.3794839958701065,0.1267415007879711,43410,0.3816406425874149
KNeighborsClassifier,undersample,0.37764571329894375,0.12831560146232385,130935,0.3835682317261492
RandomForestClassifier,smoteenn,0.3748205725335309,0.11306868731848464,166693,0.3766249104023167
KNeighborsClassifier,smoteenn,0.36271685095819606,0.11912203554597067,261866,0.3662997096404469
QuadraticDiscriminantAnalysis,undersample,0.36131408388994296,0.1444938727651366,24588,0.3785987101781378
GaussianNB,none,0.3487558869665923,0.1508554623805202,10852,0.3489370852872797
KNeighborsClassifier,smote,0.34830645025653156,0.12297076892738289,261869,0.352859156783492
SVC_linear,none,0.3434797899434523,0.15780746706861656,22860,0.3656167813627035
KNeighborsClassifier,none,0.3322124854870559,0.13124370832213914,65466,0.337099931231621
QuadraticDiscriminantAnalysis,smote,0.33082294923731864,0.13719729079536222,49200,0.3388862820854019
QuadraticDiscriminantAnalysis,smoteenn,0.3272853258031626,0.13806772474434692,49196,0.3309225143200053
QuadraticDiscriminantAnalysis,none,0.256755735504044,0.17681368934237238,12236,0.29824623245397525
