scaler,resampling,mean,std,count,median
standard,undersample,0.4235578390032952,0.12258960163139189,110619,0.4259123708893557
standard,smote,0.4120299398057208,0.13387885974601255,221246,0.4107200484084535
none,undersample,0.40869134465902784,0.11109743937822558,32080,0.4123732457148836
none,smote,0.4071518343335283,0.11924160529230937,64116,0.4118415294481012
standard,smoteenn,0.40380052872223676,0.1265366559429259,221250,0.4030011874327557
none,none,0.4035612197969822,0.11929625881800936,16127,0.4073524566769695
robust,undersample,0.39533043870848805,0.14168903304456032,110555,0.4075500715665535
maxabs,smote,0.39328983342807655,0.1479011558146204,220979,0.4063631316805228
robust,smote,0.3885211327757128,0.1475069633879673,221119,0.389349953416715
maxabs,undersample,0.3860757437860646,0.1725264899597053,110462,0.4117464582247939
none,smoteenn,0.3838979507962475,0.11507988389068996,64112,0.3839495912217044
robust,smoteenn,0.38143093995918165,0.13715004947250495,221108,0.383843637212323
standard,none,0.38139082257201246,0.13413680018856133,55197,0.3851644432598216
maxabs,smoteenn,0.3769429113024371,0.1370156386443755,221006,0.3843604981441221
robust,none,0.34926578745081466,0.1530579617849809,55384,0.3530638842341009
maxabs,none,0.3376974487628354,0.16617013709636516,55049,0.365079365079365
