dataset_variant,config_name,model_class,scaler,resampling,pca,mean,std,count,generalization_score,range,cv_ratio
STRICT,config_loo,LinearDiscriminantAnalysis,maxabs,none,off,0.4862652153958905,0.0,2,0.4862652153958905,0.0,0.0
STRICT,config_loo,LinearDiscriminantAnalysis,standard,none,off,0.4862652153958905,0.0,2,0.4862652153958905,0.0,0.0
STRICT,config_loo,LinearDiscriminantAnalysis,robust,none,off,0.4862652153958905,0.0,2,0.4862652153958905,0.0,0.0
STRICT,config_loo,LinearDiscriminantAnalysis,none,none,off,0.4862652153958905,0.0,2,0.4862652153958905,0.0,0.0
IMPUTED,config_loo,LogisticRegression,standard,smote,on,0.4981285682631651,0.024706249431130572,336,0.4734223188320345,0.12638312156446313,0.04959813792104787
STRICT,config_loo,LogisticRegression,standard,smote,on,0.5069502270076881,0.03437659365078782,336,0.4725736333569003,0.17635723781121287,0.06781058932293661
IMPUTED,config_loo,LinearDiscriminantAnalysis,maxabs,smote,off,0.47820953775303143,0.007527767945959676,8,0.47068176980707177,0.01989351729963429,0.015741567977356714
STRICT,config_loo,LogisticRegression,standard,smote,off,0.49319395680383465,0.022611613440948006,48,0.4705823433628866,0.08153389071664546,0.04584730434955767
IMPUTED,config_kfold,LogisticRegression,standard,smote,on,0.508581475241017,0.039667698750164376,6720,0.46891377649085264,0.2804213545234655,0.07799674325803124
STRICT,config_loo,LinearDiscriminantAnalysis,standard,smote,on,0.500794012486509,0.036113819083347314,56,0.4646801934031617,0.13299437169243772,0.07211312073009297
STRICT,config_loo,LogisticRegression,standard,none,off,0.4930081795069732,0.02864769358390929,12,0.4643604859230639,0.08055136690244613,0.058107947848974974
IMPUTED,config_loo,LinearDiscriminantAnalysis,standard,smote,on,0.4958440844206735,0.03217999432575924,56,0.46366409009491427,0.12379095250615119,0.064899421686874
STRICT,config_loo,LogisticRegression,none,smote,off,0.4738307427173501,0.014147182729864044,48,0.45968355998748606,0.054597501645652025,0.02985703850436554
STRICT,config_loo,LogisticRegression,robust,undersample,off,0.48360076513906836,0.024270607239530458,24,0.4593301578995379,0.08213530756277226,0.05018728047824944
STRICT,config_loo,LogisticRegression,standard,undersample,off,0.47968323562445075,0.021762800023193668,24,0.45792043560125706,0.08299999859409818,0.04536910695839286
IMPUTED,config_kfold,LinearDiscriminantAnalysis,standard,smote,on,0.4986839001644267,0.04186084827552785,1120,0.4568230518888989,0.24377625326448632,0.08394265036774887
STRICT,config_loo,LogisticRegression,robust,smote,off,0.4720143845966939,0.015390482236241785,48,0.45662390236045214,0.061219971641205795,0.032605960196302
STRICT,config_loo,LogisticRegression,standard,smoteenn,on,0.4935587901984783,0.03839920828993844,336,0.4551595819085399,0.19670832994810622,0.07780067755352243
IMPUTED,config_loo,LogisticRegression,standard,none,off,0.46757834361167355,0.013020023932748943,12,0.4545583196789246,0.030825744912735653,0.027845652200612067
IMPUTED,config_kfold,LogisticRegression,robust,smote,off,0.4849927356430681,0.031149005809058522,960,0.45384372983400956,0.187071746896321,0.06422571622182549
IMPUTED,config_loo,SVC,standard,smote,on,0.4847538888707273,0.03103426777777313,230,0.45371962109295416,0.1273152867593103,0.06402066799313343
STRICT,config_kfold,LogisticRegression,standard,smote,on,0.5077580049338007,0.0541000804673684,6720,0.4536579244664323,0.36598206243168624,0.10654697698842135
IMPUTED,config_loo,LinearDiscriminantAnalysis,none,none,off,0.453110138691783,0.0,2,0.453110138691783,0.0,0.0
IMPUTED,config_loo,LinearDiscriminantAnalysis,standard,none,off,0.453110138691783,0.0,2,0.453110138691783,0.0,0.0
IMPUTED,config_loo,LinearDiscriminantAnalysis,maxabs,none,off,0.453110138691783,0.0,2,0.453110138691783,0.0,0.0
IMPUTED,config_loo,LinearDiscriminantAnalysis,robust,none,off,0.453110138691783,0.0,2,0.453110138691783,0.0,0.0
STRICT,config_loo,LogisticRegression,robust,none,off,0.4717257285584999,0.018972265209386538,12,0.45275346334911337,0.0513701057381048,0.0402188476498028
STRICT,config_kfold,LogisticRegression,standard,undersample,on,0.5005617871726152,0.048476733127670396,3360,0.4520850540449448,0.2801113504737607,0.09684465408653645
STRICT,config_loo,LogisticRegression,robust,smoteenn,off,0.48699667021997123,0.03519506573922849,48,0.45180160448074275,0.1275959597679695,0.07226962295929303
IMPUTED,config_loo,LogisticRegression,standard,smote,off,0.47463002861964604,0.023155354294175663,48,0.4514746743254704,0.10871156167571899,0.048786113178548286
IMPUTED,config_kfold,LogisticRegression,standard,smote,off,0.48419486156424235,0.0327773657060213,960,0.45141749585822105,0.20434006810365535,0.06769457569237843
IMPUTED,config_loo,LogisticRegression,robust,smote,off,0.47424154712538,0.02318974477240948,48,0.45105180235297054,0.08645764261190436,0.04889859379249742
IMPUTED,config_kfold,SVC,standard,smote,on,0.49621246720986717,0.045239885861325366,5684,0.4509725813485418,0.26842159180208275,0.09117039343187582
STRICT,config_loo,LogisticRegression,standard,undersample,on,0.4842994511512507,0.03356114971388464,168,0.4507383014373661,0.15162851690628815,0.06929834348171336
STRICT,config_loo,LinearDiscriminantAnalysis,none,smote,off,0.46595046949352265,0.015397800080632492,8,0.4505526694128901,0.050466514363484094,0.033046001858029125
IMPUTED,config_kfold,LogisticRegression,standard,undersample,on,0.4917201861121118,0.043633028962565226,3360,0.4480871571495466,0.2693367143175456,0.08873548451927278
STRICT,config_loo,LogisticRegression,none,undersample,off,0.4580208229801026,0.01001528275518277,24,0.44800554022491984,0.031351568188716206,0.02186643543849939
IMPUTED,config_loo,GaussianNB,robust,undersample,off,0.44792890942040114,0.0,3,0.44792890942040114,0.0,0.0
IMPUTED,config_loo,GaussianNB,standard,undersample,off,0.44792890942040114,0.0,3,0.44792890942040114,0.0,0.0
STRICT,config_kfold,LogisticRegression,robust,smoteenn,off,0.4934696553637871,0.046582999207792436,960,0.44688665615599465,0.27846113743368855,0.09439891328971652
STRICT,config_loo,SVC,standard,smoteenn,on,0.49012569405888157,0.04392685855052226,231,0.4461988355083593,0.20507653920213104,0.08962365997740383
STRICT,config_loo,LinearDiscriminantAnalysis,maxabs,smote,on,0.4779145590792044,0.031773665838031234,56,0.4461408932411731,0.08309196886017006,0.0664839880568807
STRICT,config_kfold,LogisticRegression,standard,smote,off,0.4894080341431255,0.04363082694237805,960,0.4457772072007474,0.226116674149419,0.08915020575575264
STRICT,config_kfold,LogisticRegression,standard,smoteenn,on,0.4990323611864097,0.054024242482644494,6720,0.4450081187037652,0.38882406037970335,0.10825799423950415
STRICT,config_kfold,LogisticRegression,robust,smote,off,0.48739460115742667,0.04253399354363425,960,0.4448606076137924,0.242183867149244,0.08726808512574379
STRICT,config_kfold,SVC,none,smoteenn,off,0.4921326176668983,0.048458904283171816,900,0.4436737133837265,0.253412459717642,0.09846716625470942
STRICT,config_kfold,LinearDiscriminantAnalysis,standard,smote,on,0.499818526360788,0.056289192019193926,1120,0.4435293343415941,0.30914800042715845,0.1126192588919008
STRICT,config_kfold,LogisticRegression,standard,undersample,off,0.4862111717375059,0.04335565661210727,480,0.4428555151253986,0.22817823517013053,0.08917042456505705
STRICT,config_kfold,LogisticRegression,robust,undersample,off,0.48322894545798134,0.04050004414584269,480,0.44272890131213866,0.24984652127341928,0.0838112959219748
STRICT,config_loo,LogisticRegression,none,none,off,0.46293126235412513,0.021285423092609845,12,0.4416458392615153,0.06638473814450102,0.04597966225993891
STRICT,config_kfold,LogisticRegression,standard,smoteenn,off,0.4877855940602911,0.04806253234359219,960,0.4397230617166989,0.265263259878669,0.09853208649218857
IMPUTED,config_kfold,LogisticRegression,none,smote,off,0.47006499376035527,0.030437801496364048,960,0.4396271922639912,0.172652895314371,0.06475232553028955
IMPUTED,config_loo,LinearDiscriminantAnalysis,maxabs,smote,on,0.47149487689455355,0.03218411108935313,56,0.4393107658052004,0.12592133096128183,0.06825972596209327
