dataset_variant,config_name,run_id,n_tasks,n_unique_combos,n_rows_dataset,pos_rate_dataset,n_predictors,target
IMPUTED,config_kfold,20260202_032849,20,452604,160.0,0.275,11.0,MSPH
IMPUTED,config_loo,20260202_100003,1,1280,160.0,0.275,11.0,MSPH
IMPUTED,config_loo,20260202_100011,1,838,,,,
IMPUTED,config_loo,20260202_100103,1,1280,160.0,0.275,11.0,MSPH
IMPUTED,config_loo,20260202_100116,1,763,,,,
IMPUTED,config_loo,20260202_100237,1,1280,160.0,0.275,11.0,MSPH
IMPUTED,config_loo,20260202_100253,1,1280,160.0,0.275,11.0,MSPH
IMPUTED,config_loo,20260202_100319,1,763,,,,
IMPUTED,config_loo,20260202_100431,1,713,,,,
IMPUTED,config_loo,20260202_100858,1,863,,,,
IMPUTED,config_loo,20260202_101156,1,800,,,,
IMPUTED,config_loo,20260202_101313,1,1279,160.0,0.275,11.0,MSPH
IMPUTED,config_loo,20260202_105843,1,863,,,,
IMPUTED,config_loo,20260202_105919,1,1279,160.0,0.275,11.0,MSPH
IMPUTED,config_loo,20260202_110102,1,788,,,,
IMPUTED,config_loo,20260202_110910,1,1279,160.0,0.275,11.0,MSPH
IMPUTED,config_loo,20260202_112442,1,1279,160.0,0.275,11.0,MSPH
IMPUTED,config_loo,20260202_112702,1,738,,,,
IMPUTED,config_loo,20260202_151150,1,738,,,,
IMPUTED,config_loo,20260202_151237,1,838,,,,
IMPUTED,config_loo,20260202_151451,1,775,,,,
IMPUTED,config_random80,20260202_162917,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_random80,20260202_162934,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_random80,20260202_163026,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_random80,20260202_163753,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_random80,20260202_164324,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_random80,20260202_170636,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_random80,20260202_171035,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_random80,20260202_171157,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_random80,20260202_171213,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_random80,20260202_171230,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_random80,20260202_171515,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_random80,20260202_172114,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_random80,20260202_172446,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_random80,20260202_172534,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_random80,20260202_172659,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_random80,20260202_172753,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_random80,20260202_172833,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_random80,20260202_173259,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_random80,20260202_173444,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_random80,20260202_173950,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_strat80,20260202_185839,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_strat80,20260202_185936,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_strat80,20260202_190216,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_strat80,20260202_190238,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_strat80,20260202_190307,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_strat80,20260202_190611,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_strat80,20260202_191047,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_strat80,20260202_191226,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_strat80,20260202_191814,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_strat80,20260202_191837,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_strat80,20260202_191911,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_strat80,20260202_192016,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_strat80,20260202_192113,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_strat80,20260202_192235,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_strat80,20260202_192325,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_strat80,20260202_192501,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_strat80,20260202_192635,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_strat80,20260202_192756,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_strat80,20260202_193308,1,12793,160.0,0.275,11.0,MSPH
IMPUTED,config_strat80,20260202_193527,1,12793,160.0,0.275,11.0,MSPH
STRICT,config_kfold,20260202_032849,20,491548,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_loo,20260202_032849,15,14681,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_loo,20260202_095327,1,1279,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_loo,20260202_095537,1,1279,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_loo,20260202_095731,1,1279,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_loo,20260202_095752,1,838,,,,
STRICT,config_loo,20260202_095858,1,717,,,,
STRICT,config_random80,20260202_151508,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_random80,20260202_151943,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_random80,20260202_152036,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_random80,20260202_152112,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_random80,20260202_152259,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_random80,20260202_152434,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_random80,20260202_153137,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_random80,20260202_153319,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_random80,20260202_153322,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_random80,20260202_153347,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_random80,20260202_154125,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_random80,20260202_154501,1,6000,,,,
STRICT,config_random80,20260202_154712,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_random80,20260202_161035,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_random80,20260202_161504,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_random80,20260202_161602,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_random80,20260202_161647,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_random80,20260202_161813,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_random80,20260202_162012,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_random80,20260202_162826,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_strat80,20260202_180013,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_strat80,20260202_180254,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_strat80,20260202_180529,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_strat80,20260202_180740,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_strat80,20260202_180800,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_strat80,20260202_180821,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_strat80,20260202_181040,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_strat80,20260202_181719,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_strat80,20260202_182231,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_strat80,20260202_182250,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_strat80,20260202_182323,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_strat80,20260202_182408,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_strat80,20260202_182549,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_strat80,20260202_182829,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_strat80,20260202_183043,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_strat80,20260202_183148,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_strat80,20260202_183631,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_strat80,20260202_184000,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_strat80,20260202_184305,1,12793,148.0,0.28378378378378377,11.0,MSPH
STRICT,config_strat80,20260202_185503,1,12793,148.0,0.28378378378378377,11.0,MSPH
