dataset_variant,config_name,model_class,scaler,resampling,pca,mean,std,median,min,max,count,range,cv_ratio
IMPUTED,config_strat80,SVC,robust,smote,off,0.5641786037552498,0.17271616290588157,0.5716350506349809,0.1326193317473155,1.0,480,0.8673806682526846,0.3061373858495505
IMPUTED,config_strat80,LogisticRegression,robust,smote,off,0.5624643861395409,0.17321117027108812,0.5716350506349809,0.0897303170096942,1.0,480,0.9102696829903059,0.3079504668018509
IMPUTED,config_strat80,SVC,standard,smote,off,0.5599930434262126,0.17500732554996634,0.5691908489504616,0.1326193317473155,1.0,480,0.8673806682526846,0.31251696356657716
IMPUTED,config_strat80,SVC,standard,smote,on,0.5569975968330289,0.17269281711976137,0.5691908489504616,0.1326193317473155,1.0,3360,0.8673806682526846,0.3100423019805766
IMPUTED,config_strat80,LogisticRegression,standard,smote,off,0.5546033166541978,0.17239485523492232,0.5691908489504616,0.1326193317473155,0.92783056924063,480,0.7952112374933145,0.3108435345734016
IMPUTED,config_strat80,LinearDiscriminantAnalysis,maxabs,smote,off,0.5534500711516629,0.1783224025237573,0.5931802201345258,0.1780684930865855,0.92783056924063,80,0.7497620761540444,0.3222014266845966
IMPUTED,config_strat80,LinearDiscriminantAnalysis,standard,smote,off,0.550008733989548,0.18729898188696698,0.5479252865751503,0.1780684930865855,0.92783056924063,80,0.7497620761540444,0.340538195690773
IMPUTED,config_strat80,LogisticRegression,none,smote,off,0.5499830448362022,0.16516845497779614,0.5691908489504616,0.1326193317473155,0.9229582069908971,480,0.7903388752435816,0.3003155397762983
IMPUTED,config_strat80,LogisticRegression,standard,smote,on,0.5439172489954774,0.1647580949126942,0.5266597241998389,0.1326193317473155,0.92783056924063,3360,0.7952112374933145,0.30291022249611377
IMPUTED,config_strat80,LogisticRegression,none,none,off,0.5437360855747018,0.1598009624044091,0.5439545842126707,0.1780684930865855,0.92783056924063,120,0.7497620761540444,0.29389434809261833
IMPUTED,config_strat80,LinearDiscriminantAnalysis,none,smote,off,0.5410012401698248,0.17768246614597405,0.5266597241998389,0.1326193317473155,0.92783056924063,80,0.7952112374933145,0.3284326410974549
IMPUTED,config_strat80,LinearDiscriminantAnalysis,standard,smote,on,0.5403239611524084,0.17174571030309754,0.5266597241998389,0.1326193317473155,0.92783056924063,560,0.7952112374933145,0.31785692038679264
IMPUTED,config_strat80,SVC,none,smote,off,0.5385875847465392,0.1730136750808283,0.5362318840579711,0.1326193317473155,0.92783056924063,480,0.7952112374933145,0.321235914047757
IMPUTED,config_strat80,LinearDiscriminantAnalysis,robust,smote,off,0.5333872702210154,0.18005742988090712,0.5266597241998389,0.1780684930865855,0.92783056924063,80,0.7497620761540444,0.3375735416525748
IMPUTED,config_strat80,SVC,standard,undersample,on,0.5267564589464829,0.1636125023246274,0.5266597241998389,0.1326193317473155,0.92783056924063,1680,0.7952112374933145,0.3106036946406954
IMPUTED,config_strat80,LogisticRegression,standard,none,off,0.5256916306793259,0.16502994200929738,0.5266597241998389,0.0897303170096942,0.92783056924063,120,0.8381002522309358,0.3139291789675958
IMPUTED,config_strat80,SVC,robust,undersample,off,0.525540526430951,0.17479460713495146,0.5266597241998389,0.1326193317473155,0.92783056924063,240,0.7952112374933145,0.3325996728016696
IMPUTED,config_strat80,LinearDiscriminantAnalysis,maxabs,smote,on,0.525193788809191,0.16767120979494876,0.5266597241998389,0.0897303170096942,0.92783056924063,560,0.8381002522309358,0.319255888717042
IMPUTED,config_strat80,LogisticRegression,standard,undersample,on,0.5227404727270991,0.15005945744553723,0.5266597241998389,0.1313517343731834,0.92783056924063,1680,0.7964788348674466,0.2870630174524041
IMPUTED,config_strat80,LogisticRegression,robust,undersample,off,0.522634455527934,0.1520475651420268,0.5516772843673705,0.1326193317473155,0.8643121965600912,240,0.7316928648127756,0.2909252605407301
IMPUTED,config_strat80,LogisticRegression,robust,none,off,0.5224685003558674,0.15549585703003999,0.5266597241998389,0.1326193317473155,0.92783056924063,120,0.7952112374933145,0.29761766867117834
IMPUTED,config_strat80,SVC,standard,undersample,off,0.5224225017277089,0.16935231446164714,0.5266597241998389,0.1326193317473155,0.8643121965600912,240,0.7316928648127756,0.3241673432931781
IMPUTED,config_strat80,LinearDiscriminantAnalysis,standard,undersample,on,0.5216701196271125,0.15107405358858772,0.5266597241998389,0.1203858530857692,0.92783056924063,280,0.8074447161548608,0.2895969079014431
IMPUTED,config_strat80,LogisticRegression,robust,smote,on,0.5216424435047916,0.17161922467206062,0.5266597241998389,-0.1628761506227475,0.92783056924063,3360,1.0907067198633775,0.32899781604999745
IMPUTED,config_strat80,SVC,robust,smote,on,0.5200391070120586,0.2038718775802259,0.5691908489504616,-0.38737781366765,1.0,3360,1.38737781366765,0.39203181997522074
IMPUTED,config_strat80,SVC,standard,smoteenn,on,0.5175944338511156,0.15993097386739788,0.5235477814280327,0.0486473329926243,1.0,3360,0.9513526670073758,0.30898897555262644
IMPUTED,config_strat80,LogisticRegression,standard,undersample,off,0.5167795132853895,0.15249524693655483,0.5266597241998389,0.1326193317473155,0.8643121965600912,240,0.7316928648127756,0.29508763992418546
IMPUTED,config_strat80,LinearDiscriminantAnalysis,robust,smote,on,0.5120118830493534,0.17582776607125603,0.5266597241998389,-0.0401286176952564,0.92783056924063,560,0.9679591869358865,0.34340563547879177
IMPUTED,config_strat80,LogisticRegression,standard,none,on,0.510882564213638,0.15545442498230339,0.5096447293679518,0.0897303170096942,0.92783056924063,840,0.8381002522309358,0.3042860255401011
IMPUTED,config_strat80,LogisticRegression,standard,smoteenn,on,0.5099104619912755,0.16603640655530705,0.5204358386562267,0.0486473329926243,1.0,3360,0.9513526670073758,0.3256187486464004
IMPUTED,config_kfold,LogisticRegression,standard,smote,on,0.508581475241017,0.039667698750164376,0.5082247470285293,0.3458745821766045,0.62629593670007,6720,0.2804213545234655,0.07799674325803124
IMPUTED,config_strat80,LogisticRegression,none,undersample,off,0.5085263904947632,0.14245863122741165,0.5266597241998389,0.2270531400966183,0.8075728530872482,240,0.5805197129906299,0.2801400947722863
STRICT,config_kfold,LogisticRegression,standard,smote,on,0.5077580049338007,0.0541000804673684,0.5138175328433825,0.2735168453783367,0.6394989078100229,6720,0.36598206243168624,0.10654697698842135
STRICT,config_loo,LogisticRegression,standard,smote,on,0.5069502270076881,0.03437659365078782,0.5081533951691829,0.4050757314861623,0.5814329692973752,336,0.17635723781121287,0.06781058932293661
IMPUTED,config_strat80,LinearDiscriminantAnalysis,maxabs,undersample,off,0.5049628739650528,0.14345398215547478,0.5278622408751513,0.2270531400966183,0.7092993656151906,40,0.48224622551857227,0.28408817667930747
IMPUTED,config_strat80,LinearDiscriminantAnalysis,none,undersample,off,0.5049628739650528,0.14345398215547478,0.5278622408751513,0.2270531400966183,0.7092993656151906,40,0.48224622551857227,0.28408817667930747
IMPUTED,config_strat80,LinearDiscriminantAnalysis,robust,undersample,off,0.5049628739650528,0.14345398215547478,0.5278622408751513,0.2270531400966183,0.7092993656151906,40,0.48224622551857227,0.28408817667930747
IMPUTED,config_strat80,LinearDiscriminantAnalysis,standard,undersample,off,0.5049628739650528,0.14345398215547478,0.5278622408751513,0.2270531400966183,0.7092993656151906,40,0.48224622551857227,0.28408817667930747
IMPUTED,config_strat80,LogisticRegression,none,smoteenn,off,0.5048884432056985,0.1608262705816785,0.5516772843673705,0.1901668471529859,0.92783056924063,480,0.7376637220876441,0.31853822907995477
IMPUTED,config_random80,LogisticRegression,standard,smote,on,0.5038366044509932,0.13946338080679171,0.4970501217477084,0.1136584015456127,0.8563488385776753,3360,0.7426904370320626,0.2768027959357148
IMPUTED,config_strat80,LinearDiscriminantAnalysis,maxabs,undersample,on,0.503752858758714,0.14684744197373173,0.5266597241998389,0.1326193317473155,0.8454106280193237,280,0.7127912962720082,0.2915069153861979
STRICT,config_loo,LinearDiscriminantAnalysis,standard,smote,on,0.500794012486509,0.036113819083347314,0.4977837854963974,0.4265947831441164,0.5595891548365541,56,0.13299437169243772,0.07211312073009297
IMPUTED,config_strat80,SVC,none,smoteenn,off,0.5007479171488539,0.17430587510837606,0.5266597241998389,0.1901668471529859,1.0,480,0.8098331528470141,0.3480910636649964
STRICT,config_kfold,LogisticRegression,standard,undersample,on,0.5005617871726152,0.048476733127670396,0.504111023948038,0.3349061773188097,0.6150175277925704,3360,0.2801113504737607,0.09684465408653645
IMPUTED,config_strat80,SVC,robust,undersample,on,0.5003894663102759,0.19422744046129528,0.5204358386562267,-0.4732058754737091,0.92783056924063,1680,1.401036444714339,0.38815253625035523
IMPUTED,config_strat80,LogisticRegression,robust,undersample,on,0.49998903529009103,0.15992601708183105,0.5266597241998389,-0.1224264366039326,0.8643121965600912,1680,0.9867386331640238,0.3198590484870189
STRICT,config_kfold,LinearDiscriminantAnalysis,standard,smote,on,0.499818526360788,0.056289192019193926,0.5008990697442544,0.3143836990185079,0.6235316994456663,1120,0.30914800042715845,0.1126192588919008
STRICT,config_kfold,LogisticRegression,standard,smoteenn,on,0.4990323611864097,0.054024242482644494,0.5035739049155842,0.2532686086875839,0.6420926690672872,6720,0.38882406037970335,0.10825799423950415
IMPUTED,config_kfold,LinearDiscriminantAnalysis,standard,smote,on,0.4986839001644267,0.04186084827552785,0.496978335424441,0.3626884968693857,0.606464750133872,1120,0.24377625326448632,0.08394265036774887
IMPUTED,config_loo,LogisticRegression,standard,smote,on,0.4981285682631651,0.024706249431130572,0.4986331041694657,0.4289934368490385,0.5553765584135016,336,0.12638312156446313,0.04959813792104787
IMPUTED,config_strat80,LogisticRegression,maxabs,smote,on,0.4981044236077019,0.19287750562339703,0.5204358386562267,-0.1123508829409707,0.92783056924063,3360,1.0401814521816006,0.38722303292633253
STRICT,config_strat80,SVC,none,smoteenn,off,0.4976687572026481,0.13209856196711703,0.5017840908171767,0.1749635530559413,0.7715167498104595,480,0.5965531967545181,0.26543470944334807
IMPUTED,config_strat80,SVC,none,undersample,off,0.497441323138862,0.17787236502196221,0.4732058754737091,0.0281160778557766,0.92783056924063,240,0.8997144913848534,0.3575745655780766
IMPUTED,config_kfold,SVC,standard,smote,on,0.49621246720986717,0.045239885861325366,0.4963295060749318,0.3708005353739096,0.6392221271759924,5684,0.26842159180208275,0.09117039343187582
IMPUTED,config_loo,LinearDiscriminantAnalysis,standard,smote,on,0.4958440844206735,0.03217999432575924,0.4942411406855747,0.4400071838494009,0.5637981363555521,56,0.12379095250615119,0.064899421686874
IMPUTED,config_random80,LogisticRegression,standard,undersample,on,0.4955513002439524,0.1271030563368609,0.492658951723038,0.1136584015456127,0.8563488385776753,1680,0.7426904370320626,0.25648819057540556
IMPUTED,config_random80,LinearDiscriminantAnalysis,maxabs,undersample,on,0.4946360855936095,0.14045299857815058,0.48687298371029364,0.233298824225205,0.8563488385776753,280,0.6230500143524703,0.28395218761606095
IMPUTED,config_random80,LinearDiscriminantAnalysis,standard,smote,on,0.49438618402409146,0.15321414708820133,0.4938291646584311,0.0812362394459923,0.8563488385776753,560,0.775112599131683,0.30990782517647214
