dataset_variant,config_name,model_class,scaler,resampling,pca,mean,std,median,min,max,count,range,cv_ratio
STRICT,config_loo,LinearDiscriminantAnalysis,maxabs,none,off,0.4862652153958905,0.0,0.4862652153958905,0.4862652153958905,0.4862652153958905,2,0.0,0.0
STRICT,config_loo,LinearDiscriminantAnalysis,none,none,off,0.4862652153958905,0.0,0.4862652153958905,0.4862652153958905,0.4862652153958905,2,0.0,0.0
STRICT,config_loo,LinearDiscriminantAnalysis,robust,none,off,0.4862652153958905,0.0,0.4862652153958905,0.4862652153958905,0.4862652153958905,2,0.0,0.0
STRICT,config_loo,LinearDiscriminantAnalysis,standard,none,off,0.4862652153958905,0.0,0.4862652153958905,0.4862652153958905,0.4862652153958905,2,0.0,0.0
IMPUTED,config_loo,LinearDiscriminantAnalysis,maxabs,none,off,0.453110138691783,0.0,0.453110138691783,0.453110138691783,0.453110138691783,2,0.0,0.0
IMPUTED,config_loo,LinearDiscriminantAnalysis,none,none,off,0.453110138691783,0.0,0.453110138691783,0.453110138691783,0.453110138691783,2,0.0,0.0
IMPUTED,config_loo,LinearDiscriminantAnalysis,robust,none,off,0.453110138691783,0.0,0.453110138691783,0.453110138691783,0.453110138691783,2,0.0,0.0
IMPUTED,config_loo,LinearDiscriminantAnalysis,standard,none,off,0.453110138691783,0.0,0.453110138691783,0.453110138691783,0.453110138691783,2,0.0,0.0
IMPUTED,config_loo,GaussianNB,robust,undersample,off,0.44792890942040114,0.0,0.4479289094204012,0.4479289094204012,0.4479289094204012,3,0.0,0.0
IMPUTED,config_loo,GaussianNB,standard,undersample,off,0.44792890942040114,0.0,0.4479289094204012,0.4479289094204012,0.4479289094204012,3,0.0,0.0
IMPUTED,config_loo,LinearDiscriminantAnalysis,maxabs,smote,off,0.47820953775303143,0.007527767945959676,0.4778932379516889,0.4685790789045568,0.4884725962041911,8,0.01989351729963429,0.015741567977356714
STRICT,config_loo,LogisticRegression,none,undersample,off,0.4580208229801026,0.01001528275518277,0.4570621065928872,0.446353769294216,0.4777053374829322,24,0.031351568188716206,0.02186643543849939
IMPUTED,config_loo,LogisticRegression,standard,none,off,0.46757834361167355,0.013020023932748943,0.4600880369617829,0.4572382259541429,0.4880639708668785,12,0.030825744912735653,0.027845652200612067
STRICT,config_loo,LogisticRegression,none,smote,off,0.4738307427173501,0.014147182729864044,0.4771061411472772,0.4464053981517132,0.5010028997973652,48,0.054597501645652025,0.02985703850436554
STRICT,config_loo,LogisticRegression,robust,smote,off,0.4720143845966939,0.015390482236241785,0.4723669596130192,0.4363991221721087,0.4976190938133145,48,0.061219971641205795,0.032605960196302
STRICT,config_loo,LinearDiscriminantAnalysis,none,smote,off,0.46595046949352265,0.015397800080632492,0.4625701843060087,0.4471525794498304,0.4976190938133145,8,0.050466514363484094,0.033046001858029125
STRICT,config_loo,LogisticRegression,robust,none,off,0.4717257285584999,0.018972265209386538,0.47663716169430104,0.4362178094178452,0.48758791515595,12,0.0513701057381048,0.0402188476498028
STRICT,config_loo,SVC,standard,smote,off,0.4567083005972452,0.01972941410119129,0.456563218857709,0.4265947831441164,0.4923501348491881,34,0.06575535170507169,0.04319915813965018
IMPUTED,config_loo,LogisticRegression,none,smote,off,0.45818101256546107,0.021013245524691377,0.4506693490173787,0.4310637990868051,0.4973160058812252,48,0.06625220679442012,0.04586232285583677
STRICT,config_loo,LogisticRegression,none,none,off,0.46293126235412513,0.021285423092609845,0.456563218857709,0.4363991221721087,0.5027838603166097,12,0.06638473814450102,0.04597966225993891
IMPUTED,config_loo,LinearDiscriminantAnalysis,standard,smote,off,0.45652908314221485,0.02165629106645597,0.4494356000546268,0.4387725362554147,0.4884725962041911,8,0.04970005994877641,0.047436826844413214
STRICT,config_loo,LogisticRegression,standard,undersample,off,0.47968323562445075,0.021762800023193668,0.4777053374829322,0.4359784161562407,0.5189784147503389,24,0.08299999859409818,0.04536910695839286
STRICT,config_loo,LogisticRegression,standard,smote,off,0.49319395680383465,0.022611613440948006,0.4977014396548559,0.4471525794498304,0.5286864701664759,48,0.08153389071664546,0.04584730434955767
IMPUTED,config_loo,LogisticRegression,standard,smote,off,0.47463002861964604,0.023155354294175663,0.4771087555223537,0.4289934368490385,0.5377049985247575,48,0.10871156167571899,0.048786113178548286
IMPUTED,config_loo,LogisticRegression,robust,smote,off,0.47424154712538,0.02318974477240948,0.4777210195786547,0.4387725362554147,0.525230178867319,48,0.08645764261190436,0.04889859379249742
STRICT,config_loo,LogisticRegression,robust,undersample,off,0.48360076513906836,0.024270607239530458,0.48253340223388963,0.4359784161562407,0.518113723719013,24,0.08213530756277226,0.05018728047824944
IMPUTED,config_loo,LogisticRegression,standard,smote,on,0.4981285682631651,0.024706249431130572,0.4986331041694657,0.4289934368490385,0.5553765584135016,336,0.12638312156446313,0.04959813792104787
IMPUTED,config_loo,LinearDiscriminantAnalysis,none,smote,off,0.45604480462703323,0.02480185996089282,0.46305509006995826,0.422235951603033,0.4798518567480798,8,0.057615905145046775,0.054384700163784355
IMPUTED,config_loo,LogisticRegression,robust,smoteenn,off,0.45748898570793567,0.025644843017433045,0.4593099608919506,0.3917742094595564,0.4964109646633509,48,0.10463675520379451,0.05605565121474837
IMPUTED,config_loo,LogisticRegression,standard,smoteenn,off,0.4569510377123828,0.025840657412450417,0.45166427807584464,0.422235951603033,0.5290486946131061,48,0.1068127430100731,0.05655016682272033
IMPUTED,config_loo,SVC,robust,smote,off,0.45897010126120336,0.027465213610551906,0.4578029269547624,0.4094224637628599,0.5164956098976807,33,0.10707314613482083,0.059840964662143094
IMPUTED,config_loo,LogisticRegression,robust,undersample,off,0.4553589677899901,0.027936984770898475,0.4506693490173787,0.4135179228034119,0.5181641585428214,24,0.10464623573940951,0.061351563814557204
IMPUTED,config_loo,SVC,standard,smoteenn,off,0.4508014760029654,0.02842197074312069,0.452915774053048,0.3963896244052417,0.4971509739597127,39,0.10076134955447097,0.06304764348849144
STRICT,config_loo,LogisticRegression,standard,none,off,0.4930081795069732,0.02864769358390929,0.5047622053370361,0.4464053981517132,0.5269567650541593,12,0.08055136690244613,0.058107947848974974
STRICT,config_loo,LinearDiscriminantAnalysis,robust,smote,off,0.45307266262965795,0.028782869293698558,0.4514584940759625,0.4170235275175186,0.4923501348491881,8,0.07532660733166952,0.06352815269551079
STRICT,config_loo,RandomForestClassifier,maxabs,smote,off,0.44640348777129085,0.029286165915188796,0.4475740435093612,0.380596330223835,0.5220386614834677,259,0.14144233125963268,0.06560469780691586
STRICT,config_loo,SVC,none,smoteenn,off,0.4526216475307098,0.029572181688760087,0.4375871418875156,0.4072105485482321,0.4932767031489962,28,0.08606615460076411,0.06533532333261557
IMPUTED,config_loo,SVC,robust,smoteenn,off,0.4612516108312363,0.02985678237788185,0.4675917504593828,0.399526333653657,0.50766703256774,27,0.10814069891408307,0.06472992543934099
IMPUTED,config_loo,LogisticRegression,robust,none,off,0.45148145541723245,0.03037774987954469,0.4600880369617829,0.3903217867076898,0.4817270385404678,12,0.09140525183277798,0.06728460164874628
IMPUTED,config_kfold,LogisticRegression,none,smote,off,0.47006499376035527,0.030437801496364048,0.4668436356606482,0.3956452817257179,0.5682981770400889,960,0.172652895314371,0.06475232553028955
IMPUTED,config_loo,SVC,standard,smote,on,0.4847538888707273,0.03103426777777313,0.48760661964655005,0.4099533220514466,0.5372686088107569,230,0.1273152867593103,0.06402066799313343
IMPUTED,config_kfold,LogisticRegression,robust,smote,off,0.4849927356430681,0.031149005809058522,0.48580575730752246,0.3899387675209707,0.5770105144172917,960,0.187071746896321,0.06422571622182549
IMPUTED,config_kfold,LinearDiscriminantAnalysis,none,smote,off,0.462797330795807,0.031221990236462892,0.46097072811246076,0.3951613889757909,0.5257705142805491,160,0.1306091253047582,0.06746363507061473
