index,dataset_variant,config_name,model_class,scaler,resampling,pca,mean,std,count,generalization_score,complexity_score
980,STRICT,config_loo,LinearDiscriminantAnalysis,none,none,off,0.4862652153958905,0.0,2,0.4862652153958905,0
972,STRICT,config_loo,LinearDiscriminantAnalysis,maxabs,none,off,0.4862652153958905,0.0,2,0.4862652153958905,1
984,STRICT,config_loo,LinearDiscriminantAnalysis,robust,none,off,0.4862652153958905,0.0,2,0.4862652153958905,1
992,STRICT,config_loo,LinearDiscriminantAnalysis,standard,none,off,0.4862652153958905,0.0,2,0.4862652153958905,1
289,IMPUTED,config_loo,LogisticRegression,standard,smote,on,0.4981285682631651,0.024706249431130572,336,0.4734223188320345,3
1023,STRICT,config_loo,LogisticRegression,standard,smote,on,0.5069502270076881,0.03437659365078782,336,0.4725736333569003,3
240,IMPUTED,config_loo,LinearDiscriminantAnalysis,maxabs,smote,off,0.47820953775303143,0.007527767945959676,8,0.47068176980707177,2
1022,STRICT,config_loo,LogisticRegression,standard,smote,off,0.49319395680383465,0.022611613440948006,48,0.4705823433628866,2
107,IMPUTED,config_kfold,LogisticRegression,standard,smote,on,0.508581475241017,0.039667698750164376,6720,0.46891377649085264,3
995,STRICT,config_loo,LinearDiscriminantAnalysis,standard,smote,on,0.500794012486509,0.036113819083347314,56,0.4646801934031617,3
1020,STRICT,config_loo,LogisticRegression,standard,none,off,0.4930081795069732,0.02864769358390929,12,0.4643604859230639,1
261,IMPUTED,config_loo,LinearDiscriminantAnalysis,standard,smote,on,0.4958440844206735,0.03217999432575924,56,0.46366409009491427,3
1009,STRICT,config_loo,LogisticRegression,none,smote,off,0.4738307427173501,0.014147182729864044,48,0.45968355998748606,1
1018,STRICT,config_loo,LogisticRegression,robust,undersample,off,0.48360076513906836,0.024270607239530458,24,0.4593301578995379,2
1026,STRICT,config_loo,LogisticRegression,standard,undersample,off,0.47968323562445075,0.021762800023193668,24,0.45792043560125706,2
79,IMPUTED,config_kfold,LinearDiscriminantAnalysis,standard,smote,on,0.4986839001644267,0.04186084827552785,1120,0.4568230518888989,3
1014,STRICT,config_loo,LogisticRegression,robust,smote,off,0.4720143845966939,0.015390482236241785,48,0.45662390236045214,2
1025,STRICT,config_loo,LogisticRegression,standard,smoteenn,on,0.4935587901984783,0.03839920828993844,336,0.4551595819085399,3
286,IMPUTED,config_loo,LogisticRegression,standard,none,off,0.46757834361167355,0.013020023932748943,12,0.4545583196789246,1
98,IMPUTED,config_kfold,LogisticRegression,robust,smote,off,0.4849927356430681,0.031149005809058522,960,0.45384372983400956,2
361,IMPUTED,config_loo,SVC,standard,smote,on,0.4847538888707273,0.03103426777777313,230,0.45371962109295416,4
841,STRICT,config_kfold,LogisticRegression,standard,smote,on,0.5077580049338007,0.0541000804673684,6720,0.4536579244664323,3
246,IMPUTED,config_loo,LinearDiscriminantAnalysis,none,none,off,0.453110138691783,0.0,2,0.453110138691783,0
238,IMPUTED,config_loo,LinearDiscriminantAnalysis,maxabs,none,off,0.453110138691783,0.0,2,0.453110138691783,1
250,IMPUTED,config_loo,LinearDiscriminantAnalysis,robust,none,off,0.453110138691783,0.0,2,0.453110138691783,1
258,IMPUTED,config_loo,LinearDiscriminantAnalysis,standard,none,off,0.453110138691783,0.0,2,0.453110138691783,1
1012,STRICT,config_loo,LogisticRegression,robust,none,off,0.4717257285584999,0.018972265209386538,12,0.45275346334911337,1
845,STRICT,config_kfold,LogisticRegression,standard,undersample,on,0.5005617871726152,0.048476733127670396,3360,0.4520850540449448,3
1016,STRICT,config_loo,LogisticRegression,robust,smoteenn,off,0.48699667021997123,0.03519506573922849,48,0.45180160448074275,2
288,IMPUTED,config_loo,LogisticRegression,standard,smote,off,0.47463002861964604,0.023155354294175663,48,0.4514746743254704,2
106,IMPUTED,config_kfold,LogisticRegression,standard,smote,off,0.48419486156424235,0.0327773657060213,960,0.45141749585822105,2
280,IMPUTED,config_loo,LogisticRegression,robust,smote,off,0.47424154712538,0.02318974477240948,48,0.45105180235297054,2
179,IMPUTED,config_kfold,SVC,standard,smote,on,0.49621246720986717,0.045239885861325366,5684,0.4509725813485418,4
1027,STRICT,config_loo,LogisticRegression,standard,undersample,on,0.4842994511512507,0.03356114971388464,168,0.4507383014373661,3
981,STRICT,config_loo,LinearDiscriminantAnalysis,none,smote,off,0.46595046949352265,0.015397800080632492,8,0.4505526694128901,1
111,IMPUTED,config_kfold,LogisticRegression,standard,undersample,on,0.4917201861121118,0.043633028962565226,3360,0.4480871571495466,3
1011,STRICT,config_loo,LogisticRegression,none,undersample,off,0.4580208229801026,0.01001528275518277,24,0.44800554022491984,1
200,IMPUTED,config_loo,GaussianNB,robust,undersample,off,0.44792890942040114,0.0,3,0.44792890942040114,3
208,IMPUTED,config_loo,GaussianNB,standard,undersample,off,0.44792890942040114,0.0,3,0.44792890942040114,3
834,STRICT,config_kfold,LogisticRegression,robust,smoteenn,off,0.4934696553637871,0.046582999207792436,960,0.44688665615599465,2
1096,STRICT,config_loo,SVC,standard,smoteenn,on,0.49012569405888157,0.04392685855052226,231,0.4461988355083593,4
975,STRICT,config_loo,LinearDiscriminantAnalysis,maxabs,smote,on,0.4779145590792044,0.031773665838031234,56,0.4461408932411731,3
840,STRICT,config_kfold,LogisticRegression,standard,smote,off,0.4894080341431255,0.04363082694237805,960,0.4457772072007474,2
843,STRICT,config_kfold,LogisticRegression,standard,smoteenn,on,0.4990323611864097,0.054024242482644494,6720,0.4450081187037652,3
832,STRICT,config_kfold,LogisticRegression,robust,smote,off,0.48739460115742667,0.04253399354363425,960,0.4448606076137924,2
900,STRICT,config_kfold,SVC,none,smoteenn,off,0.4921326176668983,0.048458904283171816,900,0.4436737133837265,2
813,STRICT,config_kfold,LinearDiscriminantAnalysis,standard,smote,on,0.499818526360788,0.056289192019193926,1120,0.4435293343415941,3
844,STRICT,config_kfold,LogisticRegression,standard,undersample,off,0.4862111717375059,0.04335565661210727,480,0.4428555151253986,2
836,STRICT,config_kfold,LogisticRegression,robust,undersample,off,0.48322894545798134,0.04050004414584269,480,0.44272890131213866,2
1008,STRICT,config_loo,LogisticRegression,none,none,off,0.46293126235412513,0.021285423092609845,12,0.4416458392615153,0
842,STRICT,config_kfold,LogisticRegression,standard,smoteenn,off,0.4877855940602911,0.04806253234359219,960,0.4397230617166989,2
93,IMPUTED,config_kfold,LogisticRegression,none,smote,off,0.47006499376035527,0.030437801496364048,960,0.4396271922639912,1
