scenario,feature,importance_mean,importance_std
full,TC_1T,0.7103550844677458,0.06889419708592628
full,BMI_final,0.3772133561931996,0.0753905268213813
full,TG_1T,0.18715900735941868,0.05882341006775663
full,Weight,0.18469264642302716,0.0614259676534345
full,LDL_1T,0.1652757463633862,0.0704466551061983
full,SBP_1T,0.15330613949600314,0.05198316307192162
full,HDL_1T,0.11493691614742181,0.05728011529212703
full,Glycemia,0.06547536445837314,0.020118937926367264
full,Height,0.049075630409689715,0.056770851632933515
full,Age,0.018848625002928464,0.023701341662659175
full,DBP_1T,0.001299880174126744,0.0
