scenario,feature,importance_mean,importance_std
no_tc,LDL_1T,0.4283279429081247,0.09360289774266431
no_tc,BMI_final,0.4276458196455759,0.07057795247046773
no_tc,Weight,0.26112519408004714,0.06394521958312108
no_tc,HDL_1T,0.16741559436903639,0.05959406157939048
no_tc,SBP_1T,0.16467164646960747,0.06379083845794233
no_tc,Height,0.10194776401051335,0.05809105606458754
no_tc,Glycemia,0.05902688264425876,0.022679562782517485
no_tc,TG_1T,0.03589411345825988,0.02968110204509705
no_tc,Age,0.03426287466784039,0.018774322784352752
no_tc,DBP_1T,0.03187211505141836,0.01440093673730479
