scenario,feature,mean_abs_shap
full,num__TC_1T,2.9197315875989647
full,num__BMI_final,1.6619301895318033
full,num__LDL_1T,1.3007702264679855
full,num__Weight,1.2120279238168965
full,num__TG_1T,0.7995534916816084
full,num__HDL_1T,0.6144990015590234
full,num__SBP_1T,0.5399306568080867
full,num__Height,0.41057788694593955
full,num__Glycemia,0.14820124438752894
full,num__Age,0.102077634855076
full,num__DBP_1T,0.03185892665219227
no_tc,num__BMI_final,2.281653091007619
no_tc,num__Weight,1.8050724508958838
no_tc,num__LDL_1T,1.2074533276573185
no_tc,num__Height,0.688605874780658
no_tc,num__HDL_1T,0.6151675084503915
no_tc,num__SBP_1T,0.5318262088237327
no_tc,num__TG_1T,0.10754108712831986
no_tc,num__Age,0.08429789291241332
no_tc,num__Glycemia,0.0819895517688324
no_tc,num__DBP_1T,0.015075170836746168
no_lipid,num__BMI_final,1.1365802877606523
no_lipid,num__Weight,0.7893835157288732
no_lipid,num__Age,0.3684487714287231
no_lipid,num__Height,0.3574624209024557
no_lipid,num__SBP_1T,0.33600603737067425
no_lipid,num__Glycemia,0.06763941485134506
no_lipid,num__DBP_1T,0.022772471691970546
