,Age,BMI_final,DBP_1T,Glycemia,HDL_1T,Height,LDL_1T,SBP_1T,TC_1T,TG_1T,Weight
Age,1.0,-0.10110790681541612,0.007501572289171551,0.28303019748554326,0.323944364004164,0.1335822106581391,0.1270420347021672,0.07382168874514544,0.23275990765320798,-0.07156955500831884,-0.04657668479510219
BMI_final,-0.10110790681541612,1.0,0.21290787492340546,0.0922192997560473,-0.35610262767133966,-0.19617719280517784,0.12934530832110677,0.10231604429786566,0.07310920037782977,0.4621655369992019,0.8982188823725303
DBP_1T,0.007501572289171551,0.21290787492340546,1.0,0.06203798080998997,-0.11451781606129612,0.01516482079413669,0.09282197142415156,0.5777637977005438,0.048888251638591465,0.09201141890332276,0.2061885759555797
Glycemia,0.28303019748554326,0.0922192997560473,0.06203798080998997,1.0,0.05469192241092119,0.08627258597784468,0.07282702879851898,0.08169988000410426,0.08167092606490342,-0.05741784500997699,0.12876096781032303
HDL_1T,0.323944364004164,-0.35610262767133966,-0.11451781606129612,0.05469192241092119,1.0,0.20433489216154332,-0.1534729997466101,-0.08629168655115517,0.22375410872505933,-0.35642146898202465,-0.2588516155863913
Height,0.1335822106581391,-0.19617719280517784,0.01516482079413669,0.08627258597784468,0.20433489216154332,1.0,-0.19296056678905918,0.019286324860238593,-0.14050295122210166,-0.267583414807649,0.24869046863426164
LDL_1T,0.1270420347021672,0.12934530832110677,0.09282197142415156,0.07282702879851898,-0.1534729997466101,-0.19296056678905918,1.0,0.06954809739215521,0.8665003794999465,0.2683433966358826,0.037697964911171854
SBP_1T,0.07382168874514544,0.10231604429786566,0.5777637977005438,0.08169988000410426,-0.08629168655115517,0.019286324860238593,0.06954809739215521,1.0,0.037879879353720475,0.04576817575206305,0.10137069825434918
TC_1T,0.23275990765320798,0.07310920037782977,0.048888251638591465,0.08167092606490342,0.22375410872505933,-0.14050295122210166,0.8665003794999465,0.037879879353720475,1.0,0.3630960194683307,0.0070041943489749445
TG_1T,-0.07156955500831884,0.4621655369992019,0.09201141890332276,-0.05741784500997699,-0.35642146898202465,-0.267583414807649,0.2683433966358826,0.04576817575206305,0.3630960194683307,1.0,0.33118883751537664
Weight,-0.04657668479510219,0.8982188823725303,0.2061885759555797,0.12876096781032303,-0.2588516155863913,0.24869046863426164,0.037697964911171854,0.10137069825434918,0.0070041943489749445,0.33118883751537664,1.0
