,Age,BMI_final,DBP_1T,Glycemia,HDL_1T,Height,LDL_1T,SBP_1T,TC_1T,TG_1T,Weight
Age,1.0,-0.12040314334636483,-0.014684858451267829,0.3324253764357754,0.3490428353657541,0.18814546926946563,0.11376146834711745,0.050512691266857875,0.23135508394933774,-0.10059456762160093,-0.04560473602809543
BMI_final,-0.12040314334636483,1.0,0.22852612703050373,0.09499134863916806,-0.3628360267228444,-0.19831945368499865,0.15152837635283853,0.12898794072052075,0.10269603056870417,0.46983354866505495,0.9021900808229157
DBP_1T,-0.014684858451267829,0.22852612703050373,1.0,0.0696074040862621,-0.16625331015958725,0.010336081901113623,0.07889444763398477,0.5641156852356641,0.009412967578323146,0.10615228414096868,0.21876260563008995
Glycemia,0.3324253764357754,0.09499134863916806,0.0696074040862621,1.0,0.07690366420517335,0.09359477832955596,0.05083814626935514,0.09113310089183212,0.0785561350653796,-0.06922529313690197,0.13386723689114044
HDL_1T,0.3490428353657541,-0.3628360267228444,-0.16625331015958725,0.07690366420517335,1.0,0.23027497399749056,-0.18519901883778409,-0.1486887280533959,0.18405900988640378,-0.36678973444504537,-0.2573812251335271
Height,0.18814546926946563,-0.19831945368499865,0.010336081901113623,0.09359477832955596,0.23027497399749056,1.0,-0.16118119434857006,0.024037540391371466,-0.1100248321961118,-0.24789765101710948,0.23769811767491716
LDL_1T,0.11376146834711745,0.15152837635283853,0.07889444763398477,0.05083814626935514,-0.18519901883778409,-0.16118119434857006,1.0,0.03652642325298165,0.8749141077109653,0.2647010382296438,0.07392120054954163
SBP_1T,0.050512691266857875,0.12898794072052075,0.5641156852356641,0.09113310089183212,-0.1486887280533959,0.024037540391371466,0.03652642325298165,1.0,-0.019049750713018877,0.06939886147353118,0.1286594473517962
TC_1T,0.23135508394933774,0.10269603056870417,0.009412967578323146,0.0785561350653796,0.18405900988640378,-0.1100248321961118,0.8749141077109653,-0.019049750713018877,1.0,0.376995349229241,0.04803608746714133
TG_1T,-0.10059456762160093,0.46983354866505495,0.10615228414096868,-0.06922529313690197,-0.36678973444504537,-0.24789765101710948,0.2647010382296438,0.06939886147353118,0.376995349229241,1.0,0.34872108412291164
Weight,-0.04560473602809543,0.9021900808229157,0.21876260563008995,0.13386723689114044,-0.2573812251335271,0.23769811767491716,0.07392120054954163,0.1286594473517962,0.04803608746714133,0.34872108412291164,1.0
