,Age,BMI_final,DBP_1T,Glycemia,HDL_1T,Height,LDL_1T,SBP_1T,TC_1T,TG_1T,Weight
Age,1.0,-0.1083186293582816,-0.011880775574379472,0.27146213451738604,0.3000930117021423,0.14379222320789165,0.10833642258597065,0.022745057973461377,0.1846174940401833,-0.08401168718494414,-0.03793348499458135
BMI_final,-0.1083186293582816,1.0,0.2857098478410873,0.10290482221780692,-0.35292704033337075,-0.21945034161525193,0.1426507667906935,0.15499584005023825,0.10424223026809706,0.4552780561929078,0.871035055560867
DBP_1T,-0.011880775574379472,0.2857098478410873,1.0,0.08541110866557353,-0.14415413152947226,-0.002410258533272799,0.1224000399860942,0.5355289144613642,0.06780684573217713,0.09323305434442843,0.29470365083200284
Glycemia,0.27146213451738604,0.10290482221780692,0.08541110866557353,1.0,0.01354098969106701,0.041371487688238326,0.08901244001181056,0.11377670139862173,0.08277301332611062,-0.04437547974776074,0.12172686047124325
HDL_1T,0.3000930117021423,-0.35292704033337075,-0.14415413152947226,0.01354098969106701,1.0,0.20138873378069347,-0.1270065473516152,-0.10310449487205343,0.18088513701346073,-0.37506025857587477,-0.2578961180751658
Height,0.14379222320789165,-0.21945034161525193,-0.002410258533272799,0.041371487688238326,0.20138873378069347,1.0,-0.17716126401676238,0.00930231512555218,-0.12265098930183592,-0.23706028603922683,0.2487288757329552
LDL_1T,0.10833642258597065,0.1426507667906935,0.1224000399860942,0.08901244001181056,-0.1270065473516152,-0.17716126401676238,1.0,0.07880137294335589,0.8847227381629886,0.28383129856219375,0.08277343320602822
SBP_1T,0.022745057973461377,0.15499584005023825,0.5355289144613642,0.11377670139862173,-0.10310449487205343,0.00930231512555218,0.07880137294335589,1.0,0.03851473776589049,0.07102813810990784,0.1695155026486923
TC_1T,0.1846174940401833,0.10424223026809706,0.06780684573217713,0.08277301332611062,0.18088513701346073,-0.12265098930183592,0.8847227381629886,0.03851473776589049,1.0,0.3713193253087935,0.0622395299825093
TG_1T,-0.08401168718494414,0.4552780561929078,0.09323305434442843,-0.04437547974776074,-0.37506025857587477,-0.23706028603922683,0.28383129856219375,0.07102813810990784,0.3713193253087935,1.0,0.3440299439235646
Weight,-0.03793348499458135,0.871035055560867,0.29470365083200284,0.12172686047124325,-0.2578961180751658,0.2487288757329552,0.08277343320602822,0.1695155026486923,0.0622395299825093,0.3440299439235646,1.0
