,Age,BMI_final,DBP_1T,Glycemia,HDL_1T,Height,LDL_1T,SBP_1T,TC_1T,TG_1T,Weight
Age,1.0,-0.12618184303914987,-0.01976970728991863,0.32527012980670916,0.33072163980892905,0.19740435104657209,0.08183559159073205,0.010769024759621352,0.18438850612782748,-0.11522555287055014,-0.030092483506526425
BMI_final,-0.12618184303914987,1.0,0.31012722101778506,0.11514708837706339,-0.3578450799608095,-0.22110502905625265,0.1726148177951228,0.18810768342545528,0.1478310952777726,0.4561000785413176,0.8770514643267608
DBP_1T,-0.01976970728991863,0.31012722101778506,1.0,0.09517120421943288,-0.19631247143386318,-0.0089501006471127,0.11673966365865428,0.5211681483703124,0.035319759821831845,0.11424108459443405,0.3174017765040085
Glycemia,0.32527012980670916,0.11514708837706339,0.09517120421943288,1.0,0.047052605014416216,0.051042279046990234,0.06681624820412897,0.12604019662189603,0.0744348439093894,-0.05762311501475465,0.1442954364746747
HDL_1T,0.33072163980892905,-0.3578450799608095,-0.19631247143386318,0.047052605014416216,1.0,0.22477245232404044,-0.15214634716221198,-0.17197993210793247,0.1444810050087325,-0.38688543454391255,-0.2584502678621204
Height,0.19740435104657209,-0.22110502905625265,-0.0089501006471127,0.051042279046990234,0.22477245232404044,1.0,-0.14351455189160678,0.018752977086974276,-0.09128411869349991,-0.20583928349664743,0.23241386427959548
LDL_1T,0.08183559159073205,0.1726148177951228,0.11673966365865428,0.06681624820412897,-0.15214634716221198,-0.14351455189160678,1.0,0.0366577665508744,0.8902821297687585,0.28023930831217003,0.13009437346539093
SBP_1T,0.010769024759621352,0.18810768342545528,0.5211681483703124,0.12604019662189603,-0.17197993210793247,0.018752977086974276,0.0366577665508744,1.0,-0.029369909653071735,0.09207286903838655,0.2099896359007754
TC_1T,0.18438850612782748,0.1478310952777726,0.035319759821831845,0.0744348439093894,0.1444810050087325,-0.09128411869349991,0.8902821297687585,-0.029369909653071735,1.0,0.3821352866521499,0.12321459533618587
TG_1T,-0.11522555287055014,0.4561000785413176,0.11424108459443405,-0.05762311501475465,-0.38688543454391255,-0.20583928349664743,0.28023930831217003,0.09207286903838655,0.3821352866521499,1.0,0.3690850216703653
Weight,-0.030092483506526425,0.8770514643267608,0.3174017765040085,0.1442954364746747,-0.2584502678621204,0.23241386427959548,0.13009437346539093,0.2099896359007754,0.12321459533618587,0.3690850216703653,1.0
