feature,n_negative,n_positive,median_negative,median_positive,median_difference_pos_minus_neg,cliffs_delta_pos_vs_neg,abs_cliffs_delta,p_value,q_value_fdr
TC_1T,106,42,172.5,199.0,26.5,0.5604222821203954,0.5604222821203954,1.125617616569377e-07,1.2381793782263147e-06
LDL_1T,106,42,96.9,125.3,28.39999999999999,0.5150494159928122,0.5150494159928122,1.0916556894472645e-06,6.004106291959955e-06
SBP_1T,106,42,106.0,110.0,4.0,0.22911051212938005,0.22911051212938005,0.029357655616991468,0.09104863887021707
HDL_1T,106,42,55.85,60.349999999999994,4.499999999999993,0.22416891284815813,0.22416891284815813,0.03396544867804967,0.09104863887021707
Age,106,42,29.5,31.0,1.5,0.2151841868823001,0.2151841868823001,0.04138574494100776,0.09104863887021707
BMI_final,106,42,24.35,22.7,-1.6500000000000021,-0.18935309973045822,0.18935309973045822,0.07330707342472582,0.134396301278664
Weight,106,42,61.5,60.0,-1.5,-0.14195867026055706,0.14195867026055706,0.17911789308401282,0.2814709748463059
Height,106,42,161.0,163.0,2.0,0.07973944294699012,0.07973944294699012,0.4509633803681684,0.6200746480062316
DBP_1T,106,42,64.0,64.5,0.5,0.05727762803234501,0.05727762803234501,0.5861599048272017,0.6608964439904401
Glycemia,106,42,78.25,78.2,-0.04999999999999716,-0.05548068283917341,0.05548068283917341,0.6008149490822183,0.6608964439904401
TG_1T,106,42,97.0,101.5,4.5,-0.027628032345013476,0.027628032345013476,0.7952770838567758,0.7952770838567758
