dataset,feature,n,k_groups,test,stat,p_value,effect,effect_name,median_by_group,q_value_fdr
strict_full,TC_1T,148,2,mannwhitneyu,978.5,1.125617616569377e-07,-0.5604222821203954,cliffs_delta,"{'0': 172.5, '1': 199.0}",1.2381793782263147e-06
strict_full,LDL_1T,148,2,mannwhitneyu,1079.5,1.0916556894472645e-06,-0.5150494159928122,cliffs_delta,"{'0': 96.9, '1': 125.3}",6.004106291959955e-06
strict_full,SBP_1T,148,2,mannwhitneyu,1716.0,0.029357655616991468,-0.22911051212938005,cliffs_delta,"{'0': 106.0, '1': 110.0}",0.09104863887021708
strict_full,HDL_1T,148,2,mannwhitneyu,1727.0,0.03396544867804967,-0.22416891284815813,cliffs_delta,"{'0': 55.85, '1': 60.349999999999994}",0.09104863887021708
strict_full,Age,148,2,mannwhitneyu,1747.0,0.04138574494100776,-0.2151841868823001,cliffs_delta,"{'0': 29.5, '1': 31.0}",0.09104863887021708
strict_full,BMI_final,148,2,mannwhitneyu,2647.5,0.07330707342472582,0.18935309973045822,cliffs_delta,"{'0': 24.35, '1': 22.7}",0.134396301278664
strict_full,Weight,148,2,mannwhitneyu,2542.0,0.17911789308401282,0.14195867026055706,cliffs_delta,"{'0': 61.5, '1': 60.0}",0.28147097484630584
strict_full,Height,148,2,mannwhitneyu,2048.5,0.4509633803681684,-0.07973944294699012,cliffs_delta,"{'0': 161.0, '1': 163.0}",0.6200746480062316
strict_full,DBP_1T,148,2,mannwhitneyu,2098.5,0.5861599048272017,-0.05727762803234501,cliffs_delta,"{'0': 64.0, '1': 64.5}",0.6608964439904402
strict_full,Glycemia,148,2,mannwhitneyu,2349.5,0.6008149490822183,0.05548068283917341,cliffs_delta,"{'0': 78.25, '1': 78.2}",0.6608964439904402
strict_full,TG_1T,148,2,mannwhitneyu,2287.5,0.7952770838567758,0.027628032345013476,cliffs_delta,"{'0': 97.0, '1': 101.5}",0.7952770838567758
