dataset,feature,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,iqr,range,max_abs
imputed,Age,160.0,29.2625,5.8808799025037874,13.0,16.0,18.0,25.75,30.0,33.0,37.0,38.41,41.0,7.25,28.0,41.0
imputed,Weight,160.0,64.62875,12.38766574373947,42.0,46.0,49.0,57.0,61.0,71.0,88.02499999999999,101.96999999999994,115.0,14.0,73.0,115.0
imputed,Height,160.0,161.21875,6.659434953460471,145.0,148.18,150.95,156.0,161.0,166.25,171.0,176.0,178.0,10.25,33.0,178.0
imputed,BMI_final,160.0,24.885570734190082,4.717931437892696,17.03,18.354,18.895,21.7,23.85,27.525,32.9,38.826999999999984,46.6,5.824999999999999,29.57,46.6
imputed,Glycemia,160.0,77.71812499999999,8.943272457463637,52.0,57.77,63.0,73.0,78.1,81.85,90.0,95.04999999999998,134.0,8.849999999999994,82.0,134.0
imputed,SBP_1T,160.0,107.3875,10.035463845343422,80.0,86.13,90.0,100.0,108.5,112.0,120.09999999999997,134.41,140.0,12.0,60.0,140.0
imputed,DBP_1T,160.0,64.575,8.960114273754668,27.0,44.77,50.95,60.0,64.0,70.0,80.0,85.04999999999998,99.0,10.0,72.0,99.0
imputed,TC_1T,160.0,183.3625,29.06931371738934,121.0,124.77,143.8,161.75,181.0,203.0,238.04999999999998,252.23,259.0,41.25,138.0,259.0
imputed,TG_1T,160.0,108.956875,44.00789897919341,36.0,38.77,55.0,75.75,102.5,130.25,195.04999999999998,237.04999999999998,246.0,54.5,210.0,246.0
imputed,HDL_1T,160.0,56.800625000000004,13.285162181852098,18.0,24.95,36.0,47.0,56.9,65.05,80.115,87.315,100.2,18.049999999999997,82.2,100.2
imputed,LDL_1T,160.0,105.21812500000001,26.42047488819249,36.0,55.31,65.57,86.5,104.5,122.725,149.04999999999998,166.0,168.0,36.224999999999994,132.0,168.0
