feature,label,mean_abs_shap,spearman_feature_shap,effect_direction,p_value
TC_1T,TC 1T,2.106492606922364,0.9999999999999999,increase,0.0
SBP_1T,SBP 1T,0.7367087446432287,0.9999999999999999,increase,0.0
TG_1T,TG 1T,0.625909508820895,-0.9999999999999999,decrease,0.0
LDL_1T,LDL-C 1T,0.3777111574143256,-0.9999999999999999,decrease,0.0
Height,Height,0.352988301353579,0.9999999999999999,increase,0.0
Weight,Weight,0.33147002424857624,-1.0,decrease,0.0
HDL_1T,HDL-C 1T,0.3218586577765779,-1.0,decrease,0.0
DBP_1T,DBP 1T,0.2561946525592679,-1.0,decrease,0.0
BMI_final,BMI,0.2203310096701947,-0.9999999999999999,decrease,0.0
Glycemia,Glycemia,0.04934822902505466,-1.0,decrease,0.0
Age,Age,0.014253721193627538,1.0,increase,0.0
